OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
91532,Destroyed (>50%),21505.0,State Highway 96,Other,,CA,0.0,SKU,Siskiyou,,7/29/2022 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Unknown,No Fence,,,0.0,0.0,   ,41.84029821,-122.86798549
28751,Destroyed (>50%),1551.0,Kay,Court,Paradise Southeast A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,Combustible,Combustible,,<30',74674.0,1974.0,1551  KAY CT   PARADISE CA 95969,39.7647991742088,-121.588295352837
69733,Destroyed (>50%),4175.0,Bayberry,Drive,Unincorporated,CA,0.0,LNU,Sonoma,Riebli,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Screened,Combustible,Single Pane, , , ,,,,410680.0,,4175 BAYBERRY DR SANTA ROSA CA 95404,38.5011044770292,-122.704559584864
107371,No Damage,681.0,E Woodbury,Road,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,89193.0,1925.0,"681 E WOODBURY RD, ALTADENA, CA 91001",34.1793371,-118.136301
54539,No Damage,,,,,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,, , , , , , , , ,,,,1503490.0,2004.0,9241 SKYWAY PARADISE CA 95969,39.7989765501273,-121.586123696299
94369,No Damage,668.0,Oregon Gulch ,Road,Oroville,CA,95965.0,BTU,Butte,Cherokee ,7/2/2024 12:00:00 AM,Fire,Combination of Actions,Mobile Home Double Wide,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,No Fence,,,41210.0,1900.0,"668 OREGON GULCH RD, OROVILLE, CA 95965",39.5482992,-121.5212699
84793,Destroyed (>50%),29689.0,Hwy 89,,Canyon Dam,CA,95923.0,LMU,Plumas,,7/13/2021 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Wood,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,241249.0,,29689 HWY 89 CANYON DAM CA 95923,40.1701040296233,-121.074718082652
47560,Destroyed (>50%),7284.0,Pentz,Road,Paradise Northeast A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,138739.0,1954.0,7284  PENTZ RD   PARADISE CA 95969,39.7985707393642,-121.579100294607
65460,Destroyed (>50%),542.0,Angelus,Street,Santa Rosa,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Fire Resistant,Not Applicable,Unknown,Fire Resistant,Single Pane, , , ,,,,20551.0,,518 ANGELUS ST SANTA ROSA CA 95403,38.4737555054718,-122.730108852829
125925,No Damage,508.0,Chapala,Drive,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Engine Company Actions,Single Family Residence Multi Story,Single Residence,0.0,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,Combustible,Combustible,,,3970350.0,2017.0,"508 CHAPALA DR, PACIFIC PALISADES, CA 90272",34.037819,-118.5210321
